ClaimNb,Exposure,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
0,0.43,7,18,36,95,B1,Regular,1054,R24
0,0.1,7,17,80,95,B2,Regular,598,R25
0,0.33,7,3,36,76,B6,Regular,4172,R82
0,0.56,5,4,73,52,B13,Diesel,15,R24
0,0.27,8,0,37,50,B11,Diesel,3021,R53
0,1.0,8,7,33,56,B2,Diesel,45,R24
0,1.0,7,15,39,50,B2,Diesel,515,R54
0,0.08,7,5,46,50,B1,Regular,6736,R11
0,0.06,10,14,38,50,B5,Diesel,164,R82
0,0.26,4,6,21,95,B6,Regular,1284,R25
0,1.0,6,7,35,50,B2,Diesel,78,R24
0,1.0,5,15,28,85,B2,Regular,229,R53
0,0.85,7,3,36,50,B12,Regular,169,R94
0,0.13,7,11,48,50,B3,Regular,1871,R82
0,1.0,6,4,50,50,B3,Regular,4762,R93
0,1.0,6,5,72,50,B2,Diesel,94,R54
0,0.46,4,12,34,50,B1,Regular,91,R24
0,0.5,8,2,35,50,B3,Diesel,824,R91
0,1.0,6,2,55,50,B1,Diesel,104,R53
0,0.18,8,5,36,50,B1,Diesel,38,R53
0,0.33,8,1,53,50,B1,Diesel,31,R52
0,0.49,9,12,45,50,B1,Regular,12,R72
0,0.54,7,4,38,95,B5,Regular,46,R53
0,0.03,6,3,47,50,B13,Diesel,824,R11
0,1.0,8,12,54,50,B1,Diesel,11,R24
0,0.08,6,3,27,64,B3,Regular,121,R91
0,0.49,4,1,23,100,B12,Regular,185,R91
0,0.66,5,13,45,50,B3,Diesel,29,R91
0,1.0,5,14,50,50,B1,Regular,1199,R52
0,1.0,7,18,56,50,B11,Diesel,13,R24
0,0.3,4,15,37,50,B2,Regular,1313,R24
0,0.66,7,19,29,68,B6,Regular,831,R54
0,0.27,12,5,56,55,B12,Diesel,663,R52
0,0.54,6,5,41,50,B12,Regular,96,R31
0,0.53,6,2,37,60,B1,Diesel,4128,R52
0,0.82,4,1,79,50,B1,Regular,393,R24
1,0.78,4,3,50,50,B12,Regular,4128,R52
0,0.45,4,13,36,54,B2,Regular,75,R24
0,0.08,6,5,70,50,B1,Diesel,61,R72
0,0.75,7,11,53,50,B2,Regular,346,R25
0,0.005464481,9,3,27,50,B2,Regular,19,R24
0,0.03,4,1,77,50,B1,Regular,4762,R93
0,1.0,6,16,48,76,B6,Regular,657,R54
0,1.0,10,1,53,50,B1,Regular,306,R82
0,0.78,5,2,45,50,B12,Diesel,3019,R73
0,0.49,6,0,44,50,B12,Regular,157,R82
0,1.0,9,19,39,50,B3,Regular,416,R82
0,0.21,7,8,45,57,B3,Regular,1286,R91
0,0.7,5,0,36,50,B12,Diesel,82,R53
0,0.66,6,10,25,118,B1,Diesel,2399,R24
0,0.35,8,1,69,50,B12,Diesel,721,R93
0,0.15,8,2,50,67,B12,Diesel,3301,R73
0,0.58,8,12,61,50,B2,Diesel,3317,R93
