params,loss,var,max,min,r2
"{'batch_size': 1000, 'hidden_layer_1': 384, 'hidden_layer_2': 96, 'hidden_layer_3': 48, 'learning_rate': 0.001, 'num_epochs': 30}",0.19845305383205414,0.002480318769812584,0.9028345942497253,0.0005335115711204708,0.02921956777572632
"{'batch_size': 1000, 'hidden_layer_1': 384, 'hidden_layer_2': 96, 'hidden_layer_3': 24, 'learning_rate': 0.001, 'num_epochs': 30}",0.19874492287635803,0.002487556543201208,0.8493685722351074,0.00045615018461830914,0.02770286798477173
"{'batch_size': 1000, 'hidden_layer_1': 384, 'hidden_layer_2': 96, 'hidden_layer_3': 12, 'learning_rate': 0.001, 'num_epochs': 30}",0.19841016829013824,0.002635013312101364,0.8315750956535339,0.0008616062696091831,0.028752267360687256
"{'batch_size': 1000, 'hidden_layer_1': 384, 'hidden_layer_2': 48, 'hidden_layer_3': 48, 'learning_rate': 0.001, 'num_epochs': 30}",0.19848068058490753,0.0026241184677928686,0.8572059273719788,0.0007217602105811238,0.02812027931213379
"{'batch_size': 1000, 'hidden_layer_1': 384, 'hidden_layer_2': 48, 'hidden_layer_3': 24, 'learning_rate': 0.001, 'num_epochs': 30}",0.19836890697479248,0.002637123456224799,0.9854521751403809,0.0004276917898096144,0.028259456157684326
"{'batch_size': 1000, 'hidden_layer_1': 384, 'hidden_layer_2': 48, 'hidden_layer_3': 12, 'learning_rate': 0.001, 'num_epochs': 30}",0.19882383942604065,0.0024476286489516497,0.9627893567085266,0.000839939690195024,0.027952611446380615
"{'batch_size': 1000, 'hidden_layer_1': 384, 'hidden_layer_2': 24, 'hidden_layer_3': 48, 'learning_rate': 0.001, 'num_epochs': 30}",0.19853517413139343,0.002899331273511052,0.6952627897262573,0.0005412332247942686,0.0276259183883667
"{'batch_size': 1000, 'hidden_layer_1': 384, 'hidden_layer_2': 24, 'hidden_layer_3': 24, 'learning_rate': 0.001, 'num_epochs': 30}",0.19855058193206787,0.0027066406328231096,0.9073172211647034,0.0005711845587939024,0.028461933135986328
"{'batch_size': 1000, 'hidden_layer_1': 384, 'hidden_layer_2': 24, 'hidden_layer_3': 12, 'learning_rate': 0.001, 'num_epochs': 30}",0.19873596727848053,0.002787468023598194,0.5765347480773926,0.0007486907416023314,0.02791762351989746
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 96, 'hidden_layer_3': 48, 'learning_rate': 0.001, 'num_epochs': 30}",0.1983577460050583,0.0022077406756579876,0.8420683145523071,0.001080822665244341,0.029338955879211426
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 96, 'hidden_layer_3': 24, 'learning_rate': 0.001, 'num_epochs': 30}",0.19811666011810303,0.002321481006219983,0.8443805575370789,0.0013431794941425323,0.030475258827209473
"{'batch_size': 1000, 'hidden_layer_1': 192, 'hidden_layer_2': 96, 'hidden_layer_3': 12, 'learning_rate': 0.001, 'num_epochs': 30}",0.19855903089046478,0.002570532960817218,0.8718101382255554,0.0011196327395737171,0.029060781002044678
